datetime,open,high,low,close,vol,volCcy,volCcyQuote,confirm
2023-05-08 16:00:00,0.37395,0.375,0.35314,0.36447,13045842.4923,4730316.882740432,4730316.882740432,0
2023-05-07 16:00:00,0.3809,0.38155,0.36219,0.37408,15130676.6182,5605792.810430456,5605792.810430456,1
2023-05-06 16:00:00,0.37626,0.3833,0.37549,0.38087,5438197.3652,2066997.388371277,2066997.388371277,1
2023-05-05 16:00:00,0.3926,0.39693,0.37342,0.37627,13727898.2307,5338796.126369035,5338796.126369035,1
2023-05-04 16:00:00,0.38909,0.39327,0.38244,0.39256,13247710.0604,5132339.21619374,5132339.21619374,1
2023-05-03 16:00:00,0.38097,0.39652,0.38017,0.38915,12430063.5734,4842375.416222419,4842375.416222419,1
2023-05-02 16:00:00,0.3899,0.39474,0.37839,0.38097,10026236.508,3873482.464902469,3873482.464902469,1
2023-05-01 16:00:00,0.38674,0.39147,0.38021,0.38994,11596083.5925,4468336.635453056,4468336.635453056,1
2023-04-30 16:00:00,0.40687,0.4149,0.38409,0.38674,15456753.5319,6086180.933348655,6086180.933348655,1
2023-04-29 16:00:00,0.40478,0.40887,0.39847,0.40686,7490532.2342,3014078.525769526,3014078.525769526,1
2023-04-28 16:00:00,0.40154,0.40767,0.401,0.40488,5538082.2608,2237301.144661216,2237301.144661216,1
2023-04-27 16:00:00,0.41353,0.41854,0.39691,0.40155,13112845.7472,5348400.288135186,5348400.288135186,1
2023-04-26 16:00:00,0.41497,0.41759,0.37771,0.41375,30583364.7516,12221422.423654185,12221422.423654185,1
2023-04-25 16:00:00,0.38003,0.41704,0.37928,0.41487,18774257.4464,7499112.044482174,7499112.044482174,1
2023-04-24 16:00:00,0.38634,0.38809,0.37613,0.38006,17805036.2428,6786196.133753946,6786196.133753946,1
2023-04-23 16:00:00,0.38553,0.39746,0.37966,0.3862,15399955.2922,5969678.248789519,5969678.248789519,1
2023-04-22 16:00:00,0.39635,0.39886,0.3833,0.38551,10070742.4658,3957881.357495388,3957881.357495388,1
2023-04-21 16:00:00,0.39786,0.39876,0.37893,0.39614,20421736.9642,7904614.165751512,7904614.165751512,1
2023-04-20 16:00:00,0.40654,0.40704,0.39537,0.39781,17627700.5431,7070290.606360774,7070290.606360774,1
2023-04-19 16:00:00,0.42095,0.42334,0.4054,0.40654,17484312.9613,7286332.042296999,7286332.042296999,1
2023-04-18 16:00:00,0.44138,0.44402,0.40637,0.42079,29017802.6608,12296938.655141228,12296938.655141228,1
2023-04-17 16:00:00,0.43414,0.4478,0.42768,0.44134,15115040.3983,6639743.190120228,6639743.190120228,1
2023-04-16 16:00:00,0.44739,0.45412,0.43236,0.43415,30387135.8637,13467906.678103204,13467906.678103204,1
2023-04-15 16:00:00,0.45585,0.45782,0.44233,0.44745,17088985.5028,7694179.37773934,7694179.37773934,1
2023-04-14 16:00:00,0.42707,0.46211,0.4263,0.45575,27904549.834,12414642.22332158,12414642.22332158,1
2023-04-13 16:00:00,0.41344,0.44404,0.41009,0.42717,54663403.7817,23588448.047201817,23588448.047201817,1
2023-04-12 16:00:00,0.40141,0.41724,0.39904,0.41347,22673133.131,9235430.862301076,9235430.862301076,1
2023-04-11 16:00:00,0.40533,0.40618,0.38862,0.40143,36277697.3502,14415386.78282204,14415386.78282204,1
2023-04-10 16:00:00,0.38862,0.41303,0.38718,0.40535,38570341.9059,15574371.222452157,15574371.222452157,1
2023-04-09 16:00:00,0.38809,0.39298,0.38471,0.38863,19501178.7167,7564203.622509497,7564203.622509497,1
2023-04-08 16:00:00,0.38736,0.38996,0.38242,0.38808,20200318.4141,7802540.509425373,7802540.509425373,1
2023-04-07 16:00:00,0.3841,0.39037,0.37975,0.38732,19441764.7968,7520602.044205944,7520602.044205944,1
2023-04-06 16:00:00,0.38461,0.38651,0.37557,0.38397,10632123.366,4054073.963101352,4054073.963101352,1
2023-04-05 16:00:00,0.3924,0.39475,0.37636,0.38453,31088244.6453,11927122.402479884,11927122.402479884,1
2023-04-04 16:00:00,0.38999,0.40003,0.38682,0.39243,23163466.6775,9125471.048690298,9125471.048690298,1
2023-04-03 16:00:00,0.38486,0.39999,0.37556,0.38999,57459533.9801,22484892.881775742,22484892.881775742,1
2023-04-02 16:00:00,0.37985,0.40489,0.37066,0.38483,59426643.221,23257430.666132229,23257430.666132229,1
2023-04-01 16:00:00,0.39289,0.39629,0.37708,0.37987,32091452.2319,12379574.185020218,12379574.185020218,1
2023-03-31 16:00:00,0.40632,0.40927,0.38808,0.3929,50771801.1727,20064162.323581689,20064162.323581689,1
2023-03-30 16:00:00,0.37595,0.40844,0.36975,0.40654,53973829.9846,21010171.315701383,21010171.315701383,1
2023-03-29 16:00:00,0.38441,0.3882,0.37229,0.37598,43044777.7838,16352964.964317402,16352964.964317402,1
2023-03-28 16:00:00,0.35835,0.38979,0.35438,0.38436,40027720.9525,15057681.86338964,15057681.86338964,1
2023-03-27 16:00:00,0.34329,0.36064,0.33857,0.35844,23258856.6504,8107844.288669071,8107844.288669071,1
2023-03-26 16:00:00,0.3557,0.35716,0.33655,0.34317,32257754.4439,11327184.632678068,11327184.632678068,1
2023-03-25 16:00:00,0.35957,0.3614,0.34851,0.35584,28783113.4803,10240076.26773922,10240076.26773922,1
2023-03-24 16:00:00,0.36226,0.36437,0.35274,0.35959,21486071.857,7736605.157905237,7736605.157905237,1
2023-03-23 16:00:00,0.37931,0.38079,0.35607,0.36238,32291366.8818,11862667.982869669,11862667.982869669,1
2023-03-22 16:00:00,0.37744,0.39,0.34898,0.37925,73543337.2607,26996210.902479975,26996210.902479975,1
2023-03-21 16:00:00,0.35047,0.3869,0.34945,0.37747,86851757.8806,32300150.163582517,32300150.163582517,1
2023-03-20 16:00:00,0.33901,0.35493,0.32914,0.35044,55913909.4272,19025682.209689998,19025682.209689998,1
2023-03-19 16:00:00,0.34561,0.35258,0.33446,0.33899,41567337.7313,14257083.093204138,14257083.093204138,1
2023-03-18 16:00:00,0.34475,0.3496,0.33509,0.34598,36347922.6447,12431437.382319982,12431437.382319982,1
2023-03-17 16:00:00,0.33462,0.35756,0.33303,0.34473,40485824.8881,14123055.481012104,14123055.481012104,1
2023-03-16 16:00:00,0.32672,0.3466,0.31937,0.3346,48276968.1083,16113038.538574697,16113038.538574697,1
2023-03-15 16:00:00,0.32702,0.32931,0.3158,0.32669,52707386.5084,17067040.918917775,17067040.918917775,1
2023-03-14 16:00:00,0.36453,0.36516,0.3241,0.32691,72614262.6922,24644125.674562156,24644125.674562156,1
2023-03-13 16:00:00,0.34615,0.36776,0.33756,0.36457,43784566.4839,15271027.034526307,15271027.034526307,1
2023-03-12 16:00:00,0.3027,0.35162,0.3022,0.3461,77306644.9331,25687950.096591461,25687950.096591461,1
2023-03-11 16:00:00,0.30311,0.30827,0.30138,0.30268,39703098.5933,12081501.93892106,12081501.93892106,1
2023-03-10 16:00:00,0.31336,0.32292,0.30283,0.30314,51469754.0303,16129978.884613622,16129978.884613622,1
2023-03-09 16:00:00,0.31856,0.31982,0.29761,0.31334,79873857.8364,24525370.428746362,24525370.428746362,1
2023-03-08 16:00:00,0.32529,0.32694,0.31305,0.31857,25487469.3562,8108756.729007938,8108756.729007938,1
2023-03-07 16:00:00,0.32768,0.33283,0.3167,0.32516,29263749.5343,9517324.023521506,9517324.023521506,1
2023-03-06 16:00:00,0.33587,0.33697,0.32074,0.32754,21025290.9629,6924234.611529975,6924234.611529975,1
2023-03-05 16:00:00,0.33866,0.34048,0.32916,0.33588,15543815.0821,5202269.66229077,5202269.66229077,1
2023-03-04 16:00:00,0.3398,0.34297,0.33024,0.33868,14757161.0451,4980893.989918781,4980893.989918781,1
2023-03-03 16:00:00,0.33742,0.34483,0.33668,0.33975,12197214.0795,4156085.919817656,4156085.919817656,1
2023-03-02 16:00:00,0.34794,0.3516,0.31864,0.33743,41222428.1604,13802115.642159644,13802115.642159644,1
2023-03-01 16:00:00,0.36134,0.36206,0.34657,0.34798,16078901.8576,5705414.80514009,5705414.80514009,1
2023-02-28 16:00:00,0.36294,0.3644,0.34844,0.36143,21478870.6146,7668186.70236664,7668186.70236664,1
2023-02-27 16:00:00,0.36612,0.36788,0.35738,0.36293,16635458.1269,6032643.07237937,6032643.07237937,1
2023-02-26 16:00:00,0.36235,0.37032,0.35861,0.36598,16750486.7951,6120320.13455221,6120320.13455221,1
2023-02-25 16:00:00,0.36411,0.3657,0.35105,0.36235,18570671.2484,6671411.14622455,6671411.14622455,1
2023-02-24 16:00:00,0.37193,0.37211,0.358,0.36412,26699598.1434,9732774.8468044,9732774.8468044,1
2023-02-23 16:00:00,0.38518,0.38541,0.37108,0.37195,21639412.7993,8231150.9140325,8231150.9140325,1
2023-02-22 16:00:00,0.37966,0.3948,0.37779,0.38531,21435549.7592,8293177.41504462,8293177.41504462,1
2023-02-21 16:00:00,0.39284,0.39649,0.3769,0.37972,27420915.31,10607213.76585469,10607213.76585469,1
2023-02-20 16:00:00,0.4071,0.40839,0.38944,0.39288,25326303.7403,10137208.89943767,10137208.89943767,1
2023-02-19 16:00:00,0.41083,0.41201,0.38918,0.40705,27877504.4862,11248743.98880997,11248743.98880997,1
2023-02-18 16:00:00,0.40436,0.41857,0.40058,0.41074,22788555.407,9276699.04732331,9276699.04732331,1
2023-02-17 16:00:00,0.40092,0.40979,0.39654,0.40439,22233077.8825,8966050.87064624,8966050.87064624,1
2023-02-16 16:00:00,0.41246,0.4143,0.38561,0.40103,29722721.7444,11806763.64023819,11806763.64023819,1
2023-02-15 16:00:00,0.39088,0.42162,0.38742,0.41247,36750831.6304,14910784.66898585,14910784.66898585,1
2023-02-14 16:00:00,0.37908,0.39554,0.37598,0.39096,29112925.132,11239269.04251993,11239269.04251993,1
2023-02-13 16:00:00,0.35182,0.38182,0.345,0.37916,25260473.671,9134305.746804,9134305.746804,1
2023-02-12 16:00:00,0.36985,0.37378,0.34658,0.35179,25662419.9626,9196396.18387788,9196396.18387788,1
2023-02-11 16:00:00,0.36211,0.37083,0.35967,0.36993,11007213.6552,4031352.19768882,4031352.19768882,1
2023-02-10 16:00:00,0.36009,0.36557,0.35431,0.36209,16985104.0103,6114345.40069467,6114345.40069467,1
2023-02-09 16:00:00,0.38618,0.38744,0.35376,0.36013,35299780.8552,12909113.82635336,12909113.82635336,1
2023-02-08 16:00:00,0.3925,0.39574,0.37747,0.38607,25032986.0822,9697767.92279085,9697767.92279085,1
2023-02-07 16:00:00,0.38559,0.40372,0.38309,0.39251,30601124.0038,12128473.06951702,12128473.06951702,1
2023-02-06 16:00:00,0.39438,0.39658,0.37933,0.38564,16492793.1259,6388034.10774396,6388034.10774396,1
2023-02-05 16:00:00,0.39083,0.40344,0.38193,0.39426,16234443.0679,6344764.08396776,6344764.08396776,1
2023-02-04 16:00:00,0.40372,0.4055,0.38779,0.39079,21043127.1206,8368718.43119304,8368718.43119304,1
2023-02-03 16:00:00,0.40327,0.40709,0.39747,0.40372,16987580.8294,6838173.17556706,6838173.17556706,1
2023-02-02 16:00:00,0.40477,0.41363,0.39201,0.40332,30753639.4165,12349909.26136354,12349909.26136354,1
2023-02-01 16:00:00,0.37527,0.41008,0.37104,0.40479,48016298.1115,19024547.66495738,19024547.66495738,1
2023-01-31 16:00:00,0.39618,0.4002,0.37333,0.37539,34503938.3549,13324803.70687488,13324803.70687488,1
2023-01-30 16:00:00,0.38232,0.39664,0.3655,0.39594,33749693.4306,12694886.01809347,12694886.01809347,1
2023-01-29 16:00:00,0.3889,0.39909,0.37335,0.38228,33229511.1054,12863567.53544767,12863567.53544767,1
2023-01-28 16:00:00,0.38372,0.39133,0.37685,0.3889,19888757.872,7671676.43634,7671676.43634,1
2023-01-27 16:00:00,0.37822,0.39799,0.37778,0.38376,36382844.0352,14098647.17492579,14098647.17492579,1
2023-01-26 16:00:00,0.37668,0.38292,0.36769,0.37874,26208525.8273,9873265.95647388,9873265.95647388,1
2023-01-25 16:00:00,0.35509,0.38933,0.354,0.37681,45767089.5919,17217828.78380822,17217828.78380822,1
2023-01-24 16:00:00,0.376,0.3806,0.34688,0.35511,36602129.7657,13173788.56128846,13173788.56128846,1
2023-01-23 16:00:00,0.37662,0.38294,0.36971,0.376,25091629.5507,9464706.40341919,9464706.40341919,1
2023-01-22 16:00:00,0.38072,0.38707,0.36858,0.37662,64369090.2616,24251397.70720977,24251397.70720977,1
2023-01-21 16:00:00,0.37056,0.38675,0.36277,0.38072,54030976.1938,20302437.98804627,20302437.98804627,1
2023-01-20 16:00:00,0.34142,0.38007,0.34032,0.37071,68954180.5517,24932140.70583479,24932140.70583479,1
2023-01-19 16:00:00,0.33444,0.34293,0.33293,0.34147,22261962.3328,7522426.87778162,7522426.87778162,1
2023-01-18 16:00:00,0.3387,0.34067,0.32333,0.33445,39727655.29,13161172.7469253,13161172.7469253,1
2023-01-17 16:00:00,0.35294,0.35557,0.33009,0.33866,30084385.6554,10478424.77888189,10478424.77888189,1
2023-01-16 16:00:00,0.34715,0.35768,0.34286,0.35292,31785115.5299,11154308.43730859,11154308.43730859,1
2023-01-15 16:00:00,0.3506,0.36387,0.33764,0.3472,44741058.3756,15725658.44642391,15725658.44642391,1
2023-01-14 16:00:00,0.35162,0.35396,0.33847,0.35063,44247762.5904,15355169.99690734,15355169.99690734,1
2023-01-13 16:00:00,0.33186,0.37,0.32771,0.35163,86818651.8158,30572365.93834853,30572365.93834853,1
2023-01-12 16:00:00,0.32215,0.33519,0.3215,0.33179,39936415.4566,13148707.73409659,13148707.73409659,1
2023-01-11 16:00:00,0.30912,0.33508,0.30785,0.32225,55742117.1934,17932401.87467355,17932401.87467355,1
2023-01-10 16:00:00,0.32026,0.32523,0.30757,0.30912,38730827.7782,12273703.54683292,12273703.54683292,1
2023-01-09 16:00:00,0.32077,0.3248,0.30632,0.32022,65308964.3414,20655903.15053741,20655903.15053741,1
2023-01-08 16:00:00,0.28811,0.34651,0.28562,0.3207,99371884.5316,31519605.84904222,31519605.84904222,1
2023-01-07 16:00:00,0.27515,0.28977,0.27378,0.288,33536429.7557,9456372.94854389,9456372.94854389,1
2023-01-06 16:00:00,0.27338,0.28062,0.27205,0.27515,24126173.0723,6655090.27770626,6655090.27770626,1
2023-01-05 16:00:00,0.26544,0.27736,0.26476,0.27341,33226818.5364,9008844.07044331,9008844.07044331,1
2023-01-04 16:00:00,0.26803,0.27137,0.26208,0.26545,26284835.7946,7011326.32402473,7011326.32402473,1
2023-01-03 16:00:00,0.25365,0.26894,0.25015,0.26803,30199539.0413,7879199.73340417,7879199.73340417,1
2023-01-02 16:00:00,0.25469,0.25655,0.25182,0.25365,14563355.6092,3696616.99532382,3696616.99532382,1
2023-01-01 16:00:00,0.24621,0.25598,0.24612,0.25471,18525117.0441,4653032.62958725,4653032.62958725,1
2022-12-31 16:00:00,0.25032,0.25047,0.24341,0.24616,12969580.5372,3193917.97695551,3193917.97695551,1
2022-12-30 16:00:00,0.24349,0.25216,0.24337,0.25035,17560057.282,4328429.34137331,4328429.34137331,1
2022-12-29 16:00:00,0.24594,0.24644,0.23922,0.24347,25359904.3477,6153907.19488535,6153907.19488535,1
2022-12-28 16:00:00,0.25043,0.25281,0.24169,0.24594,24448811.1343,6027778.20814885,6027778.20814885,1
2022-12-27 16:00:00,0.26051,0.26099,0.24985,0.25045,23229592.6333,5921268.50332141,5921268.50332141,1
2022-12-26 16:00:00,0.26115,0.26658,0.25913,0.26056,13266361.3433,3488582.02631946,3488582.02631946,1
2022-12-25 16:00:00,0.25642,0.26322,0.2546,0.26117,17882189.5591,4641953.98779882,4641953.98779882,1
2022-12-24 16:00:00,0.25841,0.26008,0.25498,0.25641,10983300.0949,2834535.74943475,2834535.74943475,1
2022-12-23 16:00:00,0.25777,0.26052,0.25674,0.25851,11073547.3161,2866834.81056286,2866834.81056286,1
2022-12-22 16:00:00,0.24833,0.26397,0.2479,0.25776,26281608.3134,6755085.62893574,6755085.62893574,1
2022-12-21 16:00:00,0.25225,0.25417,0.24649,0.24835,19517846.1738,4913126.3970171,4913126.3970171,1
2022-12-20 16:00:00,0.26,0.26018,0.24771,0.25223,27291248.1247,6932204.34588117,6932204.34588117,1
2022-12-19 16:00:00,0.26318,0.26367,0.24885,0.26002,30226999.8592,7750555.99579349,7750555.99579349,1
2022-12-18 16:00:00,0.2662,0.26941,0.26173,0.26328,13479564.6651,3575249.70990914,3575249.70990914,1
2022-12-17 16:00:00,0.26439,0.27166,0.261,0.2685,12449309.9989,3306604.97217871,3306604.97217871,1
2022-12-16 16:00:00,0.28438,0.28615,0.25427,0.2644,43060160.2279,11488826.07085986,11488826.07085986,1
2022-12-15 16:00:00,0.30171,0.30237,0.28256,0.28439,25718216.4577,7513639.06440475,7513639.06440475,1
2022-12-14 16:00:00,0.313,0.31411,0.30033,0.30175,20200732.1208,6175469.00536939,6175469.00536939,1
2022-12-13 16:00:00,0.31296,0.3158,0.30395,0.313,21089111.7876,6560443.31874756,6560443.31874756,1
2022-12-12 16:00:00,0.30442,0.31861,0.29902,0.31292,29227232.4211,8986793.24314605,8986793.24314605,1
2022-12-11 16:00:00,0.31262,0.31498,0.30027,0.30443,15310184.5601,4685315.35158495,4685315.35158495,1
